Demo_Task,Fiscal_Period,ESG_Record_ID,Linked_GL_Txn_ID,Entity,Cost_Center,Cost_Center_Name,ESG_Category,Account_Code,Account_Name,Supplier,Invoice_Number,PO_Number,Spend_AUD,Sustainability_KPI,KPI_Target,KPI_Actual,KPI_Attainment_Percent,Carbon_tCO2e,Renewable_Source_Percent,Supplier_ESG_Score,Working_Capital_Impact_AUD,Margin_Impact_Points,Misclassification_Flag,Leakage_Flag,Disclosure_Evidence_Status,Audit_Readiness,Recommended_Action,Approval_Required,Source_File_Target
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0015,TXN006223,AUS01,TAS,"Tasmania Operations","Fleet emissions",5400,Travel,"Bureau Veritas",BOB-ESG-0015,PO-ESG-4305,4544.52,renewable_kwh,121.26,126.73,104.5,66.07,32.9,88,25596.12,-0.75,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0016,TXN006224,AUS01,WA,"Western Australia Operations","Fleet emissions",5400,Travel,"Bureau Veritas",BOB-ESG-0016,PO-ESG-3688,98561.87,renewable_kwh,878.21,869.37,99.0,536.59,58.0,69,39468.69,0.10,No,None,Partial,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0017,TXN006225,AUS01,OPS,"Operations & Logistics","Carbon offsets",5300,"Professional Services","Energy Australia",BOB-ESG-0017,PO-ESG-3760,101241.07,audit_evidence_count,716.60,619.61,86.5,67.60,21.9,79,-32178.92,-0.63,No,None,Missing,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0018,TXN006226,NZL01,MKT,"Marketing & Sales","Fleet emissions",5400,Travel,"Origin Energy",BOB-ESG-0018,PO-ESG-5422,11591.09,supplier_score,556.56,646.87,116.2,201.49,22.7,75,58353.51,0.12,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0019,TXN006227,AUS01,SA,"South Australia Operations","Sustainable packaging",6010,"Direct Materials","Green Freight",BOB-ESG-0019,PO-ESG-8491,88262.03,audit_evidence_count,112.34,81.94,72.9,223.51,82.6,68,76014.57,0.09,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0020,TXN006228,NZL01,SA,"South Australia Operations","Renewable sourcing premium",6000,"Cost of Goods Sold","Energy Australia",BOB-ESG-0020,PO-ESG-5023,96168.52,waste_kg_reduced,398.45,464.93,116.7,345.26,52.3,89,33361.10,-0.46,No,None,Missing,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0021,TXN006229,AUS01,OPS,"Operations & Logistics","Waste reduction",5600,Telecommunications,"Energy Australia",BOB-ESG-0021,PO-ESG-5617,36091.33,renewable_kwh,479.17,394.01,82.2,288.91,12.4,89,-7084.86,-0.13,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0022,TXN006230,AUS01,TAS,"Tasmania Operations","Sustainable packaging",6010,"Direct Materials","Climate Active Advisor",BOB-ESG-0022,PO-ESG-8222,109433.99,audit_evidence_count,759.51,738.84,97.3,379.85,15.2,98,-2659.71,-0.75,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0023,TXN006231,AUS01,HR,"Human Resources","Carbon offsets",5300,"Professional Services","Sustainable Packaging Co",BOB-ESG-0023,PO-ESG-2082,70248.30,"tCO2e avoided",702.92,513.60,73.1,250.27,98.6,95,-49701.52,-0.70,No,None,Missing,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0024,TXN006232,NZL01,WA,"Western Australia Operations","Sustainable packaging",6010,"Direct Materials","Origin Energy",BOB-ESG-0024,PO-ESG-9369,6065.20,renewable_kwh,338.31,371.21,109.7,349.58,58.2,48,78466.32,0.02,No,None,Missing,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0025,TXN006233,NZL01,R&D,"Research & Development","Waste reduction",5600,Telecommunications,EcoVadis,BOB-ESG-0025,PO-ESG-4064,66699.19,renewable_kwh,577.28,396.01,68.6,22.36,94.7,83,-7315.00,-0.70,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0026,TXN006234,FJI01,SA,"South Australia Operations","Carbon offsets",5300,"Professional Services","Green Freight",BOB-ESG-0026,PO-ESG-7524,25472.08,"tCO2e avoided",210.02,250.66,119.4,28.40,72.4,67,84123.38,-0.02,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0027,TXN006235,AUS01,R&D,"Research & Development","Energy usage",5110,Utilities,"Energy Australia",BOB-ESG-0027,PO-ESG-6942,45961.04,waste_kg_reduced,261.69,196.30,75.0,146.92,59.9,62,1219.79,-0.39,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0028,TXN006236,AUS01,WA,"Western Australia Operations","Fleet emissions",5400,Travel,"Sustainable Packaging Co",BOB-ESG-0028,PO-ESG-6865,107639.09,supplier_score,713.22,759.46,106.5,136.46,82.2,90,42304.43,0.17,No,None,Missing,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0029,TXN006237,NZL01,ACT,"Australian Capital Territory","Waste reduction",5600,Telecommunications,EcoVadis,BOB-ESG-0029,PO-ESG-7572,74793.46,"tCO2e avoided",428.23,510.26,119.2,129.91,79.6,62,50167.41,-0.19,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0030,TXN006238,AUS01,SA,"South Australia Operations","Energy usage",5110,Utilities,"Sustainable Packaging Co",BOB-ESG-0030,PO-ESG-9470,19011.17,renewable_kwh,987.15,730.37,74.0,231.82,32.4,81,-15688.92,0.32,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0031,TXN006239,AUS01,OPS,"Operations & Logistics","Sustainable packaging",6010,"Direct Materials","Climate Active Advisor",BOB-ESG-0031,PO-ESG-9427,88662.86,audit_evidence_count,430.95,287.48,66.7,364.84,17.0,57,37796.16,-0.58,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0032,TXN006240,NZL01,R&D,"Research & Development","Waste reduction",5600,Telecommunications,"Origin Energy",BOB-ESG-0032,PO-ESG-7887,12831.38,supplier_score,298.77,216.35,72.4,284.68,30.6,87,-42839.65,-0.60,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0033,TXN006241,AUS01,IT,"Information Technology","Supplier ESG premium",6010,"Direct Materials","Climate Active Advisor",BOB-ESG-0033,PO-ESG-5400,40971.69,"tCO2e avoided",872.23,1084.12,124.3,27.73,74.6,80,32070.94,-0.44,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0034,TXN006242,NZL01,NT,"Northern Territory Operations","Carbon offsets",5300,"Professional Services","Energy Australia",BOB-ESG-0034,PO-ESG-4909,104749.31,waste_kg_reduced,468.41,438.11,93.5,99.62,87.4,72,33359.04,-0.65,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0035,TXN006243,FJI01,QLD,"Queensland Operations","Renewable sourcing premium",6000,"Cost of Goods Sold",EcoVadis,BOB-ESG-0035,PO-ESG-2508,59659.49,renewable_kwh,688.68,493.20,71.6,308.15,71.5,71,36341.87,-0.07,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0036,TXN006244,AUS01,IT,"Information Technology","Sustainable packaging",6010,"Direct Materials","Climate Active Advisor",BOB-ESG-0036,PO-ESG-5480,36178.05,"tCO2e avoided",496.67,359.25,72.3,123.63,39.0,46,48582.49,0.07,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0037,TXN006245,PNG01,FIN,"Finance & Accounting","Carbon offsets",5300,"Professional Services","Energy Australia",BOB-ESG-0037,PO-ESG-9985,116628.08,renewable_kwh,621.22,761.25,122.5,365.36,94.6,95,8558.10,-0.56,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0038,TXN006246,FJI01,OPS,"Operations & Logistics","Waste reduction",5600,Telecommunications,"Sustainable Packaging Co",BOB-ESG-0038,PO-ESG-2600,59704.65,waste_kg_reduced,231.85,262.46,113.2,87.37,33.6,67,-2229.83,0.03,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0039,TXN006247,AUS01,NSW,"New South Wales Operations","Waste reduction",5600,Telecommunications,"Carbon Neutral Pty Ltd",BOB-ESG-0039,PO-ESG-9444,16178.74,renewable_kwh,169.83,139.48,82.1,517.62,26.5,93,73749.39,-0.40,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0040,TXN006248,NZL01,CORP,"Corporate Head Office","Carbon offsets",5300,"Professional Services","Carbon Neutral Pty Ltd",BOB-ESG-0040,PO-ESG-4322,40922.25,"tCO2e avoided",886.23,1050.37,118.5,203.97,59.3,78,800.61,-0.33,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0041,TXN006249,AUS01,NT,"Northern Territory Operations","Renewable sourcing premium",6000,"Cost of Goods Sold","Climate Active Advisor",BOB-ESG-0041,PO-ESG-7783,77434.85,"tCO2e avoided",683.70,695.04,101.7,23.41,50.9,98,62089.74,0.37,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0042,TXN006250,AUS01,NSW,"New South Wales Operations","Compliance assurance",5320,"Audit Fees","Sustainable Packaging Co",BOB-ESG-0042,PO-ESG-9727,5927.57,waste_kg_reduced,544.43,584.49,107.4,88.83,94.2,84,62377.26,-0.36,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0043,TXN006251,FJI01,TAS,"Tasmania Operations","Supplier ESG premium",6010,"Direct Materials","Sustainable Packaging Co",BOB-ESG-0043,PO-ESG-9431,49275.88,"tCO2e avoided",108.22,72.30,66.8,424.95,37.3,55,-15638.92,-0.35,No,None,Partial,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0044,TXN006252,NZL01,OPS,"Operations & Logistics","Renewable sourcing premium",6000,"Cost of Goods Sold",EcoVadis,BOB-ESG-0044,PO-ESG-2615,9936.83,supplier_score,276.32,330.00,119.4,262.44,81.8,74,-7000.91,-0.14,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0045,TXN006253,AUS01,FIN,"Finance & Accounting","Fleet emissions",5400,Travel,"Sustainable Packaging Co",BOB-ESG-0045,PO-ESG-2004,41407.05,renewable_kwh,332.48,217.06,65.3,529.03,41.8,77,71731.37,0.13,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0046,TXN006254,AUS01,QLD,"Queensland Operations","Energy usage",5120,Utilities,"Carbon Neutral Pty Ltd",BOB-ESG-0046,PO-ESG-8231,86778.56,audit_evidence_count,305.61,290.62,95.1,271.06,50.1,82,56749.94,0.30,Yes,"ESG spend posted to non-ESG account or missing KPI link",Complete,"Needs review","Reclassify and link to KPI evidence",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0047,TXN006255,AUS01,NT,"Northern Territory Operations","Fleet emissions",5400,Travel,EcoVadis,BOB-ESG-0047,PO-ESG-5361,7321.27,supplier_score,64.88,67.16,103.5,524.14,41.7,92,11025.99,-0.78,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0048,TXN006256,AUS01,WA,"Western Australia Operations","Renewable sourcing premium",6000,"Cost of Goods Sold","Origin Energy",BOB-ESG-0048,PO-ESG-4177,102802.71,"tCO2e avoided",686.69,548.31,79.8,388.54,43.1,70,436.29,0.22,No,None,Missing,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0049,TXN006257,PNG01,VIC,"Victoria Operations","Sustainable packaging",6010,"Direct Materials",EcoVadis,BOB-ESG-0049,PO-ESG-5910,100022.91,renewable_kwh,217.25,240.94,110.9,284.57,83.6,65,-6362.55,-0.79,No,None,Partial,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0050,TXN006258,AUS01,HR,"Human Resources","Supplier ESG premium",6010,"Direct Materials","Green Freight",BOB-ESG-0050,PO-ESG-7555,95240.93,renewable_kwh,529.49,497.43,93.9,499.67,49.8,63,57248.97,0.20,No,None,Missing,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0051,TXN006259,NZL01,MKT,"Marketing & Sales","Supplier ESG premium",6010,"Direct Materials","Green Freight",BOB-ESG-0051,PO-ESG-6730,60968.43,renewable_kwh,994.30,1226.16,123.3,590.91,31.0,87,42770.18,-0.04,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0052,TXN006260,AUS01,TAS,"Tasmania Operations","Energy usage",5110,Utilities,"Climate Active Advisor",BOB-ESG-0052,PO-ESG-5838,69523.79,audit_evidence_count,907.27,1037.16,114.3,283.26,25.6,45,64527.96,0.20,No,None,Partial,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0053,TXN006261,AUS01,HR,"Human Resources","Supplier ESG premium",6010,"Direct Materials","Climate Active Advisor",BOB-ESG-0053,PO-ESG-7661,15887.51,supplier_score,515.85,360.27,69.8,545.33,59.0,53,14686.80,-0.46,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0054,TXN006262,AUS01,VIC,"Victoria Operations","Sustainable packaging",6010,"Direct Materials","Sustainable Packaging Co",BOB-ESG-0054,PO-ESG-7620,54517.82,"tCO2e avoided",196.47,188.20,95.8,465.67,10.5,74,-25913.11,-0.42,No,None,Missing,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0055,TXN006263,AUS01,MKT,"Marketing & Sales","Compliance assurance",5320,"Audit Fees","Carbon Neutral Pty Ltd",BOB-ESG-0055,PO-ESG-6512,67766.05,"tCO2e avoided",405.13,313.92,77.5,482.76,93.7,74,68599.76,-0.04,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
