Employee_ID,Business_Unit,Department,Role,Salary_AUD,Overtime_AUD,Benefits_AUD,Contractor_Cost_AUD,Total_Workforce_Cost_AUD,Hours_Worked,Utilisation_Percent,Output_Volume,Revenue_or_Value_Supported_AUD,Labour_Cost_Per_Output,Risk_Flag,Recommended_Action,Fiscal_Period
EMP022,NSW,Operations,Manager,190000,7000,32300,0,229300,166,59,1750,1950000,131.03,High Overtime,Review workload distribution and hiring needs,2026-04
EMP023,NSW,Operations,Senior Analyst,158000,5500,26870,0,190370,162,62,1600,1900000,119.04,High Overtime,Review workload distribution and hiring needs,2026-04
EMP024,NSW,Operations,Analyst,130000,4500,19500,0,154000,159,61,1250,1600000,123.20,High Overtime,Review workload distribution and hiring needs,2026-04
EMP025,NSW,Finance,Manager,175000,3500,29750,0,208250,170,65,1900,2200000,109.61,None,,2026-04
EMP026,NSW,Finance,Analyst,122000,3200,18300,0,143500,158,63,1300,1700000,110.38,None,,2026-04
EMP027,NSW,HR,Coordinator,105000,2800,15750,0,123550,156,62,1100,1400000,112.32,None,,2026-04
EMP028,NSW,Customer Service,Coordinator,98000,3500,14700,0,116200,152,58,950,1250000,122.32,Low Utilisation,Optimize resource allocation or cross-train,2026-04
EMP029,NSW,Customer Service,Associate,78000,2900,11700,0,92600,145,55,700,950000,132.29,Low Utilisation,Optimize resource allocation or cross-train,2026-04
EMP030,NSW,Sales,Specialist,142000,6200,23940,0,172140,163,59,1400,1750000,123.00,High Overtime,Review workload distribution and hiring needs,2026-04
EMP031,NSW,Operations,Specialist,148000,5800,24960,0,178760,164,60,1500,1850000,119.17,High Overtime,Review workload distribution and hiring needs,2026-04
EMP032,NSW,Finance,Specialist,135000,4200,22950,0,162150,161,64,1550,1950000,104.61,None,,2026-04
EMP033,NSW,HR,Manager,165000,3800,28050,0,196850,169,68,1800,2150000,109.36,None,,2026-04
EMP034,NSW,Customer Service,Lead,142000,4500,24130,0,170630,160,61,1400,1750000,121.88,None,,2026-04
EMP035,NSW,Sales,Lead,172000,5800,29240,0,207040,167,60,1650,2050000,125.48,None,,2026-04
EMP036,NSW,Operations,Associate,95000,3200,14250,0,112450,151,58,850,1150000,132.29,Low Utilisation,Optimize resource allocation or cross-train,2026-04
EMP037,NSW,Finance,Associate,82000,1800,12300,0,96100,157,66,1050,1500000,91.52,None,,2026-04
EMP038,NSW,Customer Service,Specialist,128000,4100,21760,0,153860,158,62,1250,1600000,123.09,None,,2026-04
EMP039,VIC,Operations,Manager,195000,2800,33150,0,230950,172,78,2200,2700000,105.00,None,,2026-04
EMP040,VIC,Operations,Senior Analyst,168000,2200,28560,0,198760,169,77,1950,2350000,101.92,None,,2026-04
EMP041,VIC,Operations,Analyst,138000,1800,20700,0,160500,166,76,1650,2100000,97.27,None,,2026-04
EMP042,VIC,Finance,Manager,185000,1500,31450,0,217950,170,79,2100,2600000,103.79,None,,2026-04
EMP043,VIC,Finance,Senior Analyst,155000,1200,26350,0,182550,165,77,1750,2200000,104.31,None,,2026-04
EMP044,VIC,Finance,Analyst,125000,900,18750,0,144650,161,75,1350,1750000,107.15,None,,2026-04
EMP045,VIC,Marketing,Manager,172000,2400,29240,0,203640,168,76,1850,2300000,110.13,None,,2026-04
EMP046,VIC,Marketing,Analyst,118000,1600,17700,0,137300,159,74,1200,1650000,114.42,None,,2026-04
EMP047,VIC,HR,Coordinator,102000,1200,15300,0,118500,154,72,950,1300000,124.74,Low Utilisation,Optimize resource allocation or cross-train,2026-04
EMP048,VIC,IT,Manager,205000,2100,34850,0,241950,174,81,2450,3000000,98.76,None,,2026-04
EMP049,VIC,IT,Senior Analyst,175000,1500,29750,0,206250,170,79,2000,2500000,103.13,None,,2026-04
EMP050,VIC,IT,Analyst,142000,1100,21300,0,164400,166,77,1600,2000000,102.75,None,,2026-04
EMP051,VIC,Operations,Coordinator,115000,1400,17250,0,133650,157,73,1200,1600000,111.38,None,,2026-04
EMP052,VIC,Finance,Specialist,148000,1300,25120,0,174420,167,78,1750,2250000,99.67,None,,2026-04
EMP053,VIC,IT,Specialist,165000,1800,28050,0,194850,171,80,2100,2650000,92.79,None,,2026-04
EMP054,VIC,Marketing,Lead,162000,2100,27540,0,191640,169,77,1900,2400000,100.86,None,,2026-04
EMP055,VIC,Operations,Associate,92000,800,13800,0,106600,152,70,950,1250000,112.21,None,,2026-04
EMP056,WA,Sales,Manager,175000,1500,29750,0,206250,168,75,1850,2200000,111.41,None,,2026-04
EMP057,WA,Sales,Senior Analyst,148000,1200,25160,0,174360,165,74,1600,1950000,109.00,None,,2026-04
EMP058,WA,Sales,Analyst,120000,800,18000,0,138800,161,73,1350,1650000,102.81,None,,2026-04
EMP059,WA,Operations,Manager,182000,1800,30940,0,214740,170,76,2000,2400000,107.37,None,,2026-04
EMP060,WA,Operations,Senior Analyst,155000,1400,26350,0,182750,166,75,1750,2150000,104.43,None,,2026-04
EMP061,WA,Operations,Analyst,128000,1000,19200,0,148200,162,74,1400,1750000,105.86,None,,2026-04
EMP062,WA,IT,Manager,195000,1200,33150,0,229350,171,77,2150,2550000,106.77,None,,2026-04
EMP063,WA,IT,Analyst,138000,700,20700,0,159400,164,75,1500,1850000,106.27,None,,2026-04
EMP064,WA,Customer Service,Coordinator,105000,900,15750,0,121650,158,73,1100,1400000,110.59,None,,2026-04
EMP065,WA,Customer Service,Associate,88000,600,13200,0,101800,150,70,900,1200000,113.11,None,,2026-04
EMP066,WA,Sales,Specialist,142000,1100,24130,0,167230,167,76,1750,2100000,95.56,None,,2026-04
EMP067,WA,Operations,Specialist,152000,1300,25840,0,179140,168,76,1850,2250000,96.84,None,,2026-04
EMP068,SA,Finance,Manager,160000,800,27200,0,188000,166,70,1650,1900000,113.94,None,,2026-04
EMP069,SA,Finance,Analyst,115000,500,17250,0,132750,159,68,1200,1500000,110.63,None,,2026-04
EMP070,SA,HR,Coordinator,98000,400,14700,0,113100,154,67,950,1250000,119.05,None,,2026-04
EMP071,SA,Customer Service,Manager,135000,1200,22950,0,159150,162,69,1350,1700000,117.89,None,,2026-04
EMP072,SA,Customer Service,Specialist,122000,800,20740,0,143540,157,68,1200,1550000,119.62,None,,2026-04
EMP073,SA,Marketing,Coordinator,108000,600,16200,0,124800,155,66,1050,1350000,118.86,None,,2026-04
EMP074,SA,Finance,Specialist,132000,700,22440,0,155140,161,71,1450,1850000,107.00,None,,2026-04
EMP075,SA,HR,Associate,85000,300,12750,0,98050,149,64,750,1000000,130.73,Low Utilisation,Optimize resource allocation or cross-train,2026-04
EMP076,SA,Customer Service,Associate,78000,400,11700,0,90100,145,62,650,900000,138.62,Low Utilisation,Optimize resource allocation or cross-train,2026-04
EMP077,SA,Marketing,Associate,82000,500,12300,0,94800,151,65,800,1100000,118.50,None,,2026-04
EMP078,VIC,Operations,Specialist,158000,2200,26860,0,187060,169,79,2000,2550000,93.53,None,,2026-04
EMP079,WA,IT,Specialist,162000,1100,27540,0,190640,170,78,2050,2450000,92.99,None,,2026-04
EMP080,NSW,HR,Specialist,142000,4300,24140,0,170440,163,64,1550,1950000,109.96,None,,2026-04
EMP081,QLD,Finance,Specialist,175000,550,29750,0,205300,171,84,2200,2850000,93.32,None,,2026-04
EMP082,NSW,Marketing,Coordinator,115000,3200,17250,0,135450,160,62,1300,1700000,104.19,None,,2026-04
EMP083,VIC,HR,Manager,175000,1500,29750,0,206250,168,76,1900,2350000,108.55,None,,2026-04
EMP084,WA,Sales,Associate,95000,700,14250,0,109950,153,71,1100,1400000,99.95,None,,2026-04
EMP085,SA,IT,Coordinator,128000,600,19200,0,147800,158,70,1300,1700000,113.69,None,,2026-04
